indicator,alert_percentile,alarm_percentile,alert_tukey,alarm_tukey,retention_filter,season_scope,baseline_method,country,q1_median,q3_median,median_iqr,alert_zscore,alarm_zscore
Wheat flour (low quality),17.32258064516128,34.97376678800051,32.40728226204328,36.22241992428395,>=40%,All Months,LTM,Afghanistan,11.031250000000004,24.777006937561953,7.630275324481329,31.908268796679508,56.48511139767899
Wheat flour (low quality),,,,,none,All Months,FIVE_YEAR,Afghanistan,,,,-14.7936008707238,-8.89059358034948
Wheat flour (low quality),31.28,34.0,34.96,36.295,none,All Months,Nominal,Afghanistan,30.0,32.29,2.6700000000000017,41.3125408366687,49.09600783637625
Wheat flour (low quality),31.28,34.0,34.96,36.295,>=40%,All Months,Nominal,Afghanistan,30.0,32.29,2.6700000000000017,41.3125408366687,49.09600783637625
ToT (Labour/Cereal),-9.81207852104356,-33.60047876744287,-38.968616339389136,-45.897413810658186,none,All Months,YOY,Afghanistan,-25.11102139685103,-8.662316117458218,13.857594942538105,-30.642058423668587,-71.46910759379361
ToT (Labour/Cereal),-12.211529069859585,-39.31890670010236,-43.835894281012735,-51.134333302655165,>=40%,All Months,YOY,Afghanistan,-29.23901623772788,-11.135052825995672,14.596878043284853,-30.642058423668587,-71.46910759379361
ToT (Labour/Cereal),-6.127298244375202,-23.321799918729265,-25.33870155424647,-30.08758939120718,none,All Months,LTM,Afghanistan,-15.840925880325049,-6.112469437652819,9.49777567392142,-27.550340174142352,-55.615409936002784
ToT (Labour/Cereal),-13.298775789471394,-33.39989233882767,-38.423866164060044,-43.77478751083399,>=40%,All Months,LTM,Afghanistan,-27.722023470512163,-12.230678566151436,10.701842693547885,-27.550340174142352,-55.615409936002784
ToT (Labour/Cereal),-7.1744726175864475,-17.74800838606955,-23.362006486614213,-27.669358896492277,none,All Months,FIVE_YEAR,Afghanistan,-14.747301666858089,-7.068754726694094,8.614704819756124,0.45829719460518703,-21.702036361509425
percent_area_flooded,0.4442955585882352,1.8346854418700003,1.5377114765315518,1.8526126825120712,none,All Months,none,Afghanistan,0.18483401954545456,0.9079090645705128,0.6298024119610389,1.870348161581226,2.921522492926454
percent_area_flooded,0.4442955585882352,1.8346854418700003,1.5377114765315518,1.8526126825120712,>=40%,All Months,none,Afghanistan,0.18483401954545456,0.9079090645705128,0.6298024119610389,1.870348161581226,2.921522492926454
rainfall 1-month anomaly [%],80.94166433333334,65.58682133333333,56.933008125,49.55657472916667,none,All Months,none,Kenya,71.68587491666666,89.44910691666666,14.752866791666662,56.44643974301804,10.607793214230938
rainfall 1-month anomaly [%],78.12601016666666,62.4113942,53.383750708333324,45.50194106249999,>=40%,All Months,none,Kenya,69.14737,87.110515375,15.763619291666672,56.44643974301804,10.607793214230938
rainfall 1-month anomaly [%],72.83998825,59.00633745,48.344014708333326,39.99840143749999,none,Long Rains (Mar–May),none,Kenya,65.03524125,81.54043035416666,16.691226541666673,56.44643974301804,10.607793214230938
rainfall 1-month anomaly [%],76.40386858333333,60.72242653333333,50.394275187499986,42.295795645833316,none,Short Rains (Oct–Dec),none,Kenya,66.59123427083333,85.02677360416666,16.19695908333334,56.44643974301804,10.607793214230938
rainfall 3-month anomaly [%],81.74677716666667,68.14324375833334,60.522915125,53.931582479166664,none,All Months,none,Kenya,73.70558041666666,89.66185166666666,13.182665291666666,62.77412634221503,22.6172330881886
