country,adm1_name,date,indicator,value,group,year,month,month_name,year_month,year_month_str
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.944612962,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.081912894,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.675023506,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,2.579783442,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.733268133,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.175005154,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.504965408,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,3.768957116,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.326087541,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Badakhshan,2025-01-02,percent_area_flooded,0.452048246,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.437921344,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.806433845,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.093325597,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.337371528,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.231548386,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.169724148,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.618741689,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.313095827,Unknown,2025,1,Jan,2025-01,2025-01
